Shore;Source;Adicional;INSS;Bonus
Offshore;Local;140,50%;28,50%;0,00%
Onshore;Local;0,00%;28,50%;0,00%
Offshore;Expat;0,00%;0,00%;20,0%
Onshore;Expat;0,00%;0,00%;0,00%
